,key,de-DE,en-US,da-DK,fi-FI,sv-SE
,server.config.parameter.system.example_plugin.select.label|hint,`type: select`,`type: select`,`type: select`,`type: select`,`type: select`
,server.config.parameter.system.example_plugin.string_list_sort.label,Sortierbare Liste von Strings,Sortable list of strings,Sortable list of strings,Lajiteltava merkkijonoluettelo,Sortable list of strings
,server.config.parameter.system.example_plugin.string_list_sort.label|hint,`type: string-list-sort`,`type: string-list-sort`,`type: string-list-sort`,`type: string-list-sort`,`type: string-list-sort`
,server.config.parameter.system.example_plugin.string_list.label,Ungeordnete Liste von Strings,Unsorted list of strings,Unsorted list of strings,Järjestämätön merkkijonoluettelo,Unsorted list of strings
,server.config.parameter.system.example_plugin.string_list.label|hint,`type: string-list`,`type: string-list`,`type: string-list`,`type: string-list`,`type: string-list`
,server.config.parameter.system.example_plugin.tag_select.label,Auswahl von Tags,Selection of Tags,Selection of Tags,Tunnisteiden valinta,Selection of Tags
,server.config.parameter.system.example_plugin.tag_select.label|hint,`type: tag-select`,`type: tag-select`,`type: tag-select`,`type: tag select`,`type: tag select`
,server.config.parameter.system.example_plugin.tagfilter_select.label,Tagfilter,Tagfilter,Tagfilter,Tunnistesuodatin,Tagfilter
,server.config.parameter.system.example_plugin.tagfilter_select.label|hint,`type: tagfilter-select`,`type: tagfilter-select`,`type: tagfilter-select`,`type: tagfilter-select`,`type: tagfilter-select`
,server.config.parameter.system.example_plugin.text_l10n_multi.label,Mehrzeiliger mehrsprachiger Text,Multilanguage multiline Text,Multilanguage multiline Text,Monirivinen monikielinen teksti,Multilanguage multiline Text
,server.config.parameter.system.example_plugin.text_l10n_multi.label|hint,`type: text-l10n-multiline`,`type: text-l10n-multiline`,`type: text-l10n-multiline`,`type: text-l10n-multiline`,`type: text-l10n-multiline`
,server.config.parameter.system.example_plugin.text_l10n.label,Mehrsprachiger Text,Multilanguage Text,Multilanguage Text,Monikielinen teksti,Multilanguage Text
,server.config.parameter.system.example_plugin.text_l10n.label|hint,`type: text-l10n`,`type: text-l10n`,`type: text-l10n`,`type: text-l10n`,`type: text-l10n`
,server.config.parameter.system.example_plugin.text_multi.label,Mehrzeiliger Text,Multiline Text,Multiline Text,Monirivinen teksti,Multiline Text
,server.config.parameter.system.example_plugin.text_multi.label|hint,`type: text-multiline`,`type: text-multiline`,`type: text-multiline`,`type: text-multiline`,`type: text-multiline`
,server.config.parameter.system.example_plugin.text.label,Einzeiliger Text,Oneline Text,Oneline Text,Yksirivinen teksti,Oneline Text
,server.config.parameter.system.example_plugin.text.label|hint,`type: text`,`type: text`,`type: text`,`type: text`,`type: text`
,server.config.parameter.system.example_plugin.webhook_secret.label,Secret für einen Webhook,Secret for a Webhook,Secret for a Webhook,Webhookin salaisuus,Secret for a Webhook
,server.right.system.plugin.example-plugin.example,Sichtbar,Visible,Visible,Näkyvissä,Visible
,type.extension.custom.settings.config.parameter.base.ex_text_online.ex_1.label,Mehr Info?,More Info?,More Info?,Lisätietoja?,More Info?
